Date,Type,Item,Session_Avg
2025-12-09,DRAM,DDR5 16G (2Gx8) 4800/5600,26.333
2025-12-09,DRAM,DDR5 16Gb (2Gx8) eTT,12.6
2025-12-09,DRAM,DDR4 16Gb (2Gx8)3200,47.125
2025-12-09,DRAM,DDR4 16Gb (2Gx8) eTT,9.925
2025-12-09,DRAM,DDR4 8Gb (1Gx8) 3200,17.064
2025-12-09,DRAM,DDR4 8Gb (1Gx8) eTT,4.717
2025-12-09,DRAM,DDR3 4Gb 512Mx8 1600/1866,3.576
2025-12-09,NAND,SLC 2Gb 256MBx8,1.434
2025-12-09,NAND,SLC 1Gb 128MBx8,1.205
2025-12-09,NAND,MLC 64Gb 8GBx8,6.85
2025-12-09,NAND,MLC 32Gb 4GBx8,4.131
2025-12-10,DRAM,DDR5 16G (2Gx8) 4800/5600,26.267
2025-12-10,DRAM,DDR5 16Gb (2Gx8) eTT,12.6
2025-12-10,DRAM,DDR4 16Gb (2Gx8)3200,47.875
2025-12-10,DRAM,DDR4 16Gb (2Gx8) eTT,9.95
2025-12-10,DRAM,DDR4 8Gb (1Gx8) 3200,17.161
2025-12-10,DRAM,DDR4 8Gb (1Gx8) eTT,4.717
2025-12-10,DRAM,DDR3 4Gb 512Mx8 1600/1866,3.576
2025-12-10,NAND,SLC 2Gb 256MBx8,1.434
2025-12-10,NAND,SLC 1Gb 128MBx8,1.205
2025-12-10,NAND,MLC 64Gb 8GBx8,6.85
2025-12-10,NAND,MLC 32Gb 4GBx8,4.131
